car_speed_record,car_heading_record,car_acc_record,car_steer_record,reward
11.087754398584373,0.010878782194209916,0.5438771992921829,0.044173938901360635,0.9286843
11.693027496337898,0.00948525803316068,0.3026365488767624,0.01728464666096441,0.94926244
12.82924163341523,-0.009450855340375382,0.5681070685386658,-0.04619828436444447,0.9389938
12.801768392324462,-0.18248111045770152,-0.013736620545387268,0.03509717004746338,0.9504962
11.528401643037807,-0.1068055253588515,-0.6366833746433258,0.066838409079421,0.9283991
12.501222670078285,0.02205294637317063,0.4864105135202408,0.012444690381299542,0.93841064
12.691643506288539,-0.005232942819688015,0.09521041810512543,-0.0005125578497943472,0.9480029
12.021413251757629,0.007206603390439003,-0.33511512726545334,0.024701104513889016,0.9382283
14.062463983893405,-0.025129336637251205,1.0205253660678864,-0.01933586008838447,0.93812156
14.795076385140433,-0.002784632797319303,0.36630620062351227,-0.036245769208558425,0.9528549
14.835565045475967,0.0008756233606992543,0.020244330167770386,0.0003111339549516526,0.9429524
