car_speed_record,car_heading_record,car_acc_record,car_steer_record,reward
8.908157255462037,-0.04281450081532295,-0.04817091643286808,0.04677001435083417,0.9193197
8.889223031844248,-0.0015916541591001754,-0.0008353573883942053,0.0017453428994983864,0.91917944
8.888894683438947,-5.9151592307460366e-05,-1.4486375142415872e-05,6.486788308883245e-05,0.919177
8.888888989375252,-2.1982660994290804e-06,-2.512159073357149e-07,2.410705130853382e-06,0.9325103
8.888888890631476,0.045990744596787855,-4.356467779113397e-09,-0.05045514925933677,0.91917694
8.888888888919109,-0.044872675883496665,-7.554845637969265e-11,0.04922503048751925,0.91917694
8.888888888889413,0.044899860509782424,-1.3115434664238517e-12,-0.049254944982522475,0.91917694
6.708864389461874,0.0028308663312691384,-0.10549430698801654,-0.0033275657122038694,0.9030286
8.847788825702047,0.00010497953357799239,0.1027501579671064,-0.0001161739932017702,0.91887254
8.888176150913592,-0.0460235642130683,0.0017818449382437744,0.05049682748716785,0.9191717
11.068894848365536,-0.0010594690148392205,0.10554065686393463,0.0011007860037704712,0.93532515
11.110379016527773,-2.433752092045882e-05,0.0018302364583444586,2.5096107259833327e-05,0.934834
11.111098415470993,-5.59741681116499e-07,3.173910029315626e-05,5.771129053760027e-07,0.91959983
11.111110890949288,-1.2873838106663982e-08,5.504045574866723e-07,1.327333882288488e-08,0.9089712
